Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Exclude from Simulation,Exclude from Position Files,Footprint,Datasheet,#
"C1,C2,C3,C4,C5",5,100n,,,,,${EXCLUDE_FROM_POS_FILES},Capacitor_SMD:C_0402_1005Metric,,1
C6,1,10n,,,,,${EXCLUDE_FROM_POS_FILES},Capacitor_SMD:C_0402_1005Metric,,2
"C7,C8",2,1u,,,,,${EXCLUDE_FROM_POS_FILES},Capacitor_SMD:C_0402_1005Metric,,3
C9,1,10u,,,,,${EXCLUDE_FROM_POS_FILES},Capacitor_SMD:C_0402_1005Metric,,4
"C12,C13",2,22u,,,,,${EXCLUDE_FROM_POS_FILES},Capacitor_SMD:C_0805_2012Metric,,5
"C14,C15",2,10p,,,,,${EXCLUDE_FROM_POS_FILES},Capacitor_SMD:C_0402_1005Metric,,6
D1,1,RED,,,,,${EXCLUDE_FROM_POS_FILES},LED_SMD:LED_0603_1608Metric,,7
FB1,1,120R,,,,,${EXCLUDE_FROM_POS_FILES},Inductor_SMD:L_0603_1608Metric,,8
J1,1,USB_B_Micro,,,,,${EXCLUDE_FROM_POS_FILES},Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal,,9
"J2,J3,J4,J5,J6",5,Conn_01x04,,,,,${EXCLUDE_FROM_POS_FILES},Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,,10
J7,1,Conn_01x02,,,,,${EXCLUDE_FROM_POS_FILES},Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,11
R1,1,10k,,,,,${EXCLUDE_FROM_POS_FILES},Resistor_SMD:R_0402_1005Metric,,12
"R2,R3,R4,R5",4,1.5k,,,,,${EXCLUDE_FROM_POS_FILES},Resistor_SMD:R_0402_1005Metric,,13
SW2,1,SW_Wuerth_450301014042,,,,,${EXCLUDE_FROM_POS_FILES},Button_Switch_THT:SW_Slide_SPDT_Straight_CK_OS102011MS2Q,https://www.we-online.com/components/products/datasheet/450301014042.pdf,14
U1,1,STM32F103C8T6,,,,,${EXCLUDE_FROM_POS_FILES},Package_QFP:LQFP-48_7x7mm_P0.5mm,https://www.st.com/resource/en/datasheet/stm32f103c8.pdf,15
U2,1,AMS1117-3.3,,,,,${EXCLUDE_FROM_POS_FILES},Package_TO_SOT_SMD:SOT-223-3_TabPin2,http://www.advanced-monolithic.com/pdf/ds1117.pdf,16
Y1,1,Crystal_GND24,,,,,${EXCLUDE_FROM_POS_FILES},Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,,17
