"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"C1,C3,C15","3","22u","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0402_1005Metric",""
"C2,C8,C9,C10","4","12p","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0402_1005Metric",""
"C4,C5,C11,C12,C13,C14,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27","18","1u","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0402_1005Metric",""
"C6,C7","2","100n","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0402_1005Metric",""
"J1","1","692221030100","","","","","${EXCLUDE_FROM_POS_FILES}","692221030100:692221030100",""
"J2","1","HR911130A","","","","","${EXCLUDE_FROM_POS_FILES}","HR911130A:HANRUN_HR911130A",""
"L1,L2","2","4u7","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_SMD:C_0402_1005Metric",""
"R1","1","53k6","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0402_1005Metric",""
"R2,R4,R5,R6,R7","5","12k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0402_1005Metric",""
"R3,R8","2","0R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0402_1005Metric",""
"R9,R10,R11,R12,R13","5","1k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_SMD:R_0402_1005Metric",""
"U1","1","LAN7800","","","","","${EXCLUDE_FROM_POS_FILES}","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.7x5.7mm_ThermalVias",""
"U2","1","SwitchingIC","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tlv62568.pdf"
"U3","1","ESD700","","","","","${EXCLUDE_FROM_POS_FILES}","ESD7008MUTAG:DIO_MG2040MUTAG",""
"Y1","1","Crystal_GND24","","","","","${EXCLUDE_FROM_POS_FILES}","Crystal:Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm",""
